0.28, 0.11, -0.86, -6.004, 98.450, 7.477, 275.93, 276.85, 204.53
0.28, 0.13, -0.75, 5.074, 136.963, 6.439, 286.55, 415.27, 190.89
0.41, 0.13, -0.68, -0.862, 157.921, 15.053, 306.00, 583.87, 138.06
0.67, 0.12, -0.43, -19.653, 140.419, 15.900, 309.54, 715.19, 22.16
0.81, 0.08, -0.42, 53.360, 128.471, 21.729, 309.54, 715.19, 22.16
0.88, 0.03, -0.25, -18.555, 144.737, 21.965, 268.86, 834.09, -92.04
0.84, -0.02, 0.14, 5.432, 204.903, 42.694, 235.25, 885.56, -226.68
0.76, -0.17, 0.19, 17.365, 149.536, -15.007, 201.64, 915.73, -453.37
0.77, 0.04, 0.57, -0.565, 68.665, -19.409, 203.41, 896.21, -608.47
0.61, 0.01, 0.79, 9.346, 56.068, -3.159, 198.11, 866.04, -705.62
0.37, -0.03, 0.73, -18.852, 16.197, 0.557, 198.11, 866.04, -705.62
0.41, 0.16, 0.95, 39.650, 92.720, -34.660, 210.49, 835.87, -748.22
0.36, 0.19, 0.93, 23.460, 75.531, -6.653, 256.48, 761.33, -867.53
0.02, 0.22, 0.77, 11.551, 100.983, -61.531, 295.39, 676.15, -925.48
0.01, 0.22, 1.04, -41.512, 83.817, -14.549, 344.92, 573.22, -993.66
-0.16, 0.19, 0.97, -4.082, 89.081, -16.197, 320.15, 480.94, -1020.93
-0.24, 0.14, 0.99, 5.104, 92.216, -7.950, 320.15, 480.94, -1020.93
-0.46, 0.18, 0.97, 0.275, 78.629, -14.038, 327.23, 385.10, -1055.01
-0.58, 0.18, 0.93, -19.119, 57.281, -2.136, 321.92, 269.75, -1066.94
-0.68, 0.09, 0.84, -39.551, 43.465, -0.557, 293.62, 149.07, -1026.04
-0.71, 0.07, 0.85, -26.253, 1.450, 3.143, 229.95, 78.09, -1012.40
-0.72, 0.03, 0.84, 4.120, -122.581, 2.266, 222.87, 145.52, -1039.67
-0.55, 0.07, 0.95, -3.563, 5.470, -8.392, 222.87, 145.52, -1039.67
-0.48, 0.04, 1.00, -2.701, -86.731, 11.986, 217.56, 207.64, -1034.56
-0.25, 0.08, 1.11, -2.502, -140.137, 0.458, 222.87, 269.75, -1063.54
